original,article,anchor,link,context
пункте 1 настоящей статьи,1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z61"">пункте 1</a> настоящей статьи","3. К семейным, трудовым отношениям и отношениям по использованию природных ресурсов и охране окр"
"пунктах 1, 2 статьи 1",1,z8250,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8250"">пунктах 1, 2 статьи 1</a>","Республики Казахстан и состоит из настоящего Кодекса, принятых в соответствии с ним иных законов Ре"
пункте 3 статьи 1,1,z8250,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8250"">пункте 3 статьи 1</a>","2. В случае противоречия норм гражданского права, содержащихся в актах законодательства Республи"
пунктом 2 настоящей статьи,3_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z45"">пунктом 2</a> настоящей статьи","Отношения между банками и их клиентами, а также отношения между клиентами через банки регулируют"
статьей 383,383,z808,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z808"">статьей 383</a>","2. По отношениям, возникшим до введения в действие акта гражданского законодательства, он примен"
пунктами 1 и 2 статьи 1,1,z8250,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8250"">пунктами 1 и 2 статьи 1</a>","1. В случаях, когда предусмотренные пунктами 1 и 2 статьи 1 настоящего Кодекса отношения прямо н"
пункте 1 настоящей статьи,6_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z86"">пункте 1</a> настоящей статьи",2. При выяснении точного смысла нормы гражданского законодательства необходимо учитывать историч
статьей 143,143,z303,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z303"">статьей 143</a>","При искажении либо использовании имени гражданина способами или в форме, затрагивающими его чест"
статья 110,110,z238,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z238"">статья 110</a>",4. Юридические лица могут создавать объединения (статья 110 настоящего Кодекса).
статьи 159,159,z336,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z336"">статьи 159</a>",статьи 159 настоящего Кодекса.
статьи 50,50,z109,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z109"">статьи 50</a>",статьи 50 настоящего Кодекса;
статьи 50,50,z109,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z109"">статьи 50</a>",статьи 50 настоящего Кодекса;
пунктах 4 и 5 статьи 41,41,z91,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z91"">пунктах 4 и 5 статьи 41</a>","6. Учредительные документы хозяйственного товарищества должны содержать помимо сведений, указанн"
пункта 1 настоящей статьи,65_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z785"">пункта 1</a> настоящей статьи",2. Управление полным товариществом с учетом положений пункта 1 настоящей статьи осуществляют исп
пунктом 2 статьи 67,67,z8252,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8252"">пунктом 2 статьи 67</a>","2. Участнику, исключенному из полного товарищества, выплачивается стоимость части имущества в по"
статьями 70 и 71,70,z149,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z149"">статьями 70</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z856"">71</a>",2. Обращение взыскания на долю участника в имуществе полного товарищества прекращает его участие
статье 49,49,z107,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z107"">статье 49</a>","1. Полное товарищество помимо оснований, указанных в статье 49 настоящего Кодекса, ликвидируется"
пункте 2 настоящей статьи,71_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z841"">пункте 2</a> настоящей статьи","3. Если один из участников выбыл из товарищества по основаниям, указанным в пункте 2 настоящей с"
статьей 82,82,z176,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z176"">статьей 82</a>",9) решение о принудительном выкупе доли у участника товарищества с ограниченной ответственностью
пункте 5 статьи 41,41,z91,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z91"">пункте 5 статьи 41</a>","Устав производственного кооператива должен содержать помимо сведений, указанных в пункте 5 стать"
пунктом 1 настоящей статьи,100_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z984"">пунктом 1</a> настоящей статьи","Член производственного кооператива, исключенный из него, имеет право на получение пая и других в"
статьи 41,41,z91,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z91"">статьи 41</a>","статьи 41 настоящего Кодекса, должен содержать указания об органах фонда, о порядке назначения долж"
пункте 5 статьи 41,41,z91,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z91"">пункте 5 статьи 41</a>","3. Устав потребительского кооператива должен содержать помимо сведений, указанных в пункте 5 ста"
части четвертой,129_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1126"">части четвертой</a>","Неэмиссионные ценные бумаги - ценные бумаги, не соответствующие признакам, указанным в части чет"
пунктом 3 статьи 132,132,z286,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z286"">пунктом 3 статьи 132</a>","Ордерная ценная бумага - ценная бумага, подтверждающая принадлежность удостоверенных ею прав наз"
Статья 135,135,z292,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z292"">Статья 135</a>",(Статья 135 исключена - Законом РК от 16 мая 2003 г.
статьей 9,9,z20,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z20"">статьей 9</a>","1. Физическое лицо, личные неимущественные права которого нарушены, помимо мер, предусмотренных"
пунктом 2 настоящей статьи,154_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1203"">пунктом 2</a> настоящей статьи","Несоблюдение требования о нотариальном удостоверении влечет ничтожность сделки с последствиями,"
пунктом 3 статьи 157-1,157-1,z8309,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8309"">пунктом 3 статьи 157-1</a>","Несоблюдение требования о нотариальном удостоверении влечет ничтожность сделки с последствиями,"
статьи 157,157,z332,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z332"">статьи 157</a>",статьи 157 настоящего Кодекса.
пунктом 3 настоящей статьи,157-1_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z320"">пунктом 3</a> настоящей статьи",7. С учетом конкретных обстоятельств суд вправе не применять частично либо полностью последствий
пунктами 5 и 6 настоящей статьи,157-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z8315"">пунктами 5</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z323"">6</a> настоящей статьи",7. С учетом конкретных обстоятельств суд вправе не применять частично либо полностью последствий
статьи 17,17,z40,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z40"">статьи 17</a>","статьи 17,"
пункт 4 статья 9,9,z20,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z20"">пункт 4 статья 9</a>","10. Сделка, совершенная вследствие злонамеренного соглашения представителя одной стороны с друго"
"пунктами 3, 5 настоящей статьи",159_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1224"">пунктами 3</a>, <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1226"">5</a> настоящей статьи","12. Сделки, предусмотренные пунктами 3, 5 настоящей статьи, по требованию законных представителе"
пунктами 9 и 10 статьи 159,159,z336,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z336"">пунктами 9 и 10 статьи 159</a>","2. Исковая давность по спорам, связанным с недействительностью сделки по основаниям, предусмотре"
статьи 167,167,z353,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z353"">статьи 167</a>",статьи 167 настоящего Кодекса.
пунктах 5 и 7 статьи 170,170,z862,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z862"">пунктах 5 и 7 статьи 170</a>","1. Об отмене доверенности (статья 170 настоящего Кодекса) доверитель обязан известить лицо, кото"
статья 170,170,z862,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z862"">статья 170</a>","1. Об отмене доверенности (статья 170 настоящего Кодекса) доверитель обязан известить лицо, кото"
"статей 177, 179-186",177,z374,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z374"">статей 177</a>, 179-186","3. Правила статей 177, 179-186 настоящего Кодекса распространяются также на специальные сроки ис"
пункт 2 статьи 277,277,z582,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z582"">пункт 2 статьи 277</a>","3. По обязательствам, срок исполнения которых не определен либо определен моментом востребования"
"статьи 264, 265",264,z550,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z550"">статьи 264</a>, <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z552"">265</a>",4) на требования собственника или иного законного владельца об устранении всяких нарушений его п
статьи 44,44,z97,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z97"">статьи 44</a>",статьи 44 настоящего Кодекса.
статьи 222,222,z466,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z466"">статьи 222</a>","статьи 222 настоящего Кодекса, и в иных случаях, предусмотренных законодательными актами."
статьи 238,238,z500,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z500"">статьи 238</a>",статьи 238 настоящего Кодекса.
пунктами 3 и 4 настоящей статьи,218_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1384"">пунктами 3</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1386"">4</a> настоящей статьи",5. С получением компенсации в соответствии с пунктами 3 и 4 настоящей статьи собственник утрачив
Пункты 1-3 настоящей статьи,220_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1393"">Пункты 1</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1395"">3</a> настоящей статьи","4. Пункты 1-3 настоящей статьи применяются, если иное для отдельных видов совместной собственнос"
пунктами 1 и 2 настоящей статьи,225_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1414"">пунктами 1</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1415"">2</a> настоящей статьи","3. В случаях, предусмотренных пунктами 1 и 2 настоящей статьи, доли членов крестьянского или фер"
пунктом 3 статьи 225,225,z472,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z472"">пунктом 3 статьи 225</a>",или пунктом 3 статьи 225 настоящего Кодекса.
пунктом 2 настоящей статьи,243_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1462"">пунктом 2</a> настоящей статьи","1. Движимые вещи, брошенные собственником или иным образом оставленные им с целью отказа от прав"
пунктами 3 и 4 настоящей статьи,244_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1466"">пунктами 3</a> и <a href=""http://85.202.192.66:9096/rus/docs/K940001000_#z1469"">4</a> настоящей статьи","Самовольная постройка подлежит сносу осуществившим ее лицом либо за его счет, кроме случаев, пре"
