original,article,anchor,link,context
статьи 47,47,z256,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z256"">статьи 47</a>","статьи 47 настоящего Закона, своих обязанностей по отработке или возмещению расходов бюджетных сред"
статьи 8,8,z83,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z83"">статьи 8</a>",статьи 8 настоящего Закона;
Статью 5,5,z73,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z73"">Статью 5</a>","Статью 5 предусматривается дополнить подпунктами 54-1), 54-2) и 54-3) в соответствии с Законом"
статьи 5-3,5-3,z1289,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1289"">статьи 5-3</a>","Часть 1 статьи 5-3 предусматривается дополнить подпунктами 7-1), 7-2) и 7-3) в соответствии с"
пункте 17 статьи 47,47,z256,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z256"">пункте 17 статьи 47</a>","28) определяет порядок направления специалиста на работу, возмещения расходов, понесенных з"
статьи 5-3,5-3,z1289,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1289"">статьи 5-3</a>",В часть 2 статьи 5-3 предусматривается изменение Законом РК от 04.12.2025
статьи 7,7,z7h,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z7h"">статьи 7</a>",В заголовок статьи 7 предусматривается изменение Законом РК от 09.01.2026
пункта 8 настоящей статьи,26_p8,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z161"">пункта 8</a> настоящей статьи",Военнослужащим по окончании прохождения срочной воинской службы образовательный грант на об
пункта 3 настоящей статьи,26_p3,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1542"">пункта 3</a> настоящей статьи",3) победители международных олимпиад и конкурсов научных проектов (научных соревнований) по
пунктом 2 настоящей статьи,37-2_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1001"">пунктом 2</a> настоящей статьи","3. Дистанционное обучение в организациях технического и профессионального, послесреднего, в"
части первой,42_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z235"">части первой</a>",На организации высшего и (или) послевузовского образования требования части первой настояще
части первой,43-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z774"">части первой</a>","Организации высшего и (или) послевузовского образования, более пятидесяти процентов акций к"
пункта 1 настоящей статьи,43-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z774"">пункта 1</a> настоящей статьи",Организации высшего и (или) послевузовского образования  в организационно-правовой форме го
пункта 1 настоящей статьи,43-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z774"">пункта 1</a> настоящей статьи",Организации высшего и (или) послевузовского образования  в организационно-правовой форме го
пункта 2 настоящей статьи,43-1_p2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z792"">пункта 2</a> настоящей статьи","Компетенция организаций высшего и (или) послевузовского образования, предусмотренная в подп"
Статью 43-1,43-1,z773,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z773"">Статью 43-1</a>",Статью 43-1 предусматривается дополнить пунктом 5 в соответствии с Законом РК от 04.12.2025
пункта 4 статьи 43-1,43-1,z773,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z773"">пункта 4 статьи 43-1</a>","9-2. В организациях высшего и (или) послевузовского образования, созданных в организационно"
статьи 26,26,z1539,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1539"">статьи 26</a>","статьи 26 настоящего Закона, по педагогическим, медицинским, ветеринарным и сельскохозяйственным сп"
статьи 26,26,z1539,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1539"">статьи 26</a>","статьи 26 настоящего Закона, по педагогическим, техническим и сельскохозяйственным специальностям,"
подпунктом 7) настоящего пункта,48-1_2,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1653"">подпунктом 7)</a> настоящего пункта","8) предоставлять в местный исполнительный орган области, города республиканского значения и"
пунктами 2-1 и 2-2 настоящей статьи,48-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1658"">пунктами 2-1</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1659"">2-2</a> настоящей статьи","2-3. Порядок исполнения требований, предусмотренных подпунктом 8) пункта 2, пунктами 2-1 и"
пункта 3-1 настоящей статьи,57_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z701"">пункта 3</a> и 1 настоящей статьи","При этом в приложении к лицензии на занятие образовательной деятельностью указываются код,"
пункта 3-1 настоящей статьи,57_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z701"">пункта 3</a> и 1 настоящей статьи",3. Лицензиар создает консультативно-совещательный орган для коллегиального и гласного рассм
статьи 33,33,z195,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z195"">статьи 33</a>","статьи 33 Закона Республики Казахстан ""О разрешениях и уведомлениях"";"
части пятой,57_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z704"">части пятой</a>",1) несоблюдение требования части пятой настоящего пункта либо ненадлежащее оформление докум
части четвертой,57_p4,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z702"">части четвертой</a>","1) непредставления или ненадлежащего оформления документов, указанных в части четвертой нас"
Статья 57-1,57-1,z57-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z57-1h"">Статья 57-1</a>",Статья 57-1 предусматривается в редакции Закона РК от 30.12.2024
пунктах 2 и 3 настоящей статьи,59-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1391"">пунктах 2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1421"">3</a> настоящей статьи","6. Предметом проверки является соблюдение субъектами контроля требований, установленных в п"
пунктами 2 и 3 настоящей статьи,59-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1391"">пунктами 2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1421"">3</a> настоящей статьи",7. Плановая проверка в отношении субъекта контроля проводится один раз в три года по компле
пунктами 2 и 3 настоящей статьи,59-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1391"">пунктами 2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1421"">3</a> настоящей статьи",Внеплановая проверка проводится в отношении субъекта контроля по отдельным вопросам соблюде
пунктами 25 и 26 настоящей статьи,59-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1520"">пунктами 25</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1530"">26</a> настоящей статьи","10) права и обязанности субъекта контроля, предусмотренные пунктами 25 и 26 настоящей стать"
частью первой,59-1_p1,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1390"">частью первой</a>","При необходимости проведения запроса в государственные органы, а также в связи со значитель"
пункта 9 настоящей статьи,59-1_p9,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1455"">пункта 9</a> настоящей статьи",В этом случае проведение внеплановой проверки в соответствии с подпунктом 3) части первой п
пункта 9 настоящей статьи,59-1_p9,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1455"">пункта 9</a> настоящей статьи",В случае повторного непредоставления информации об исполнении заключения о результатах пров
пунктах 2 и 3 настоящей статьи,59-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1391"">пунктах 2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1421"">3</a> настоящей статьи","21. В случае отсутствия нарушений требований, установленных в пунктах 2 и 3 настоящей стать"
пунктах 2 и 3 настоящей статьи,59-1_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1391"">пунктах 2</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1421"">3</a> настоящей статьи","1) проверять выполнение требований, не установленных в пунктах 2 и 3 настоящей статьи, а та"
пункта 5 настоящей статьи,59-1_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1443"">пункта 5</a> настоящей статьи",2) явиться по вызову должностных лиц территориального подразделения ведомства уполномоченно
пункта 5 настоящей статьи,59-1_p5,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1443"">пункта 5</a> настоящей статьи",3) предоставить информацию по запросу территориального подразделения ведомства уполномоченн
статьи 65,65,z65h,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z65h"">статьи 65</a>","статьи 65 настоящего Закона, а также обучение иностранцев и лиц без гражданства на подготовительных"
статьи 63,63,z366,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z366"">статьи 63</a>",статьи 63 настоящего Закона.
пунктами 3 и 3-2 настоящей статьи,63_multi,?,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z369"">пунктами 3</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1081"">3-2</a> настоящей статьи","3-3. Доходы, полученные государственными организациями образования, реализующими образовате"
"подпунктов 1), 3) пункта 3 статьи 53",53,z304,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z304"">подпунктов 1), 3) пункта 3 статьи 53</a>",1. Настоящий Закон вводится в действие по истечении десяти календарных дней со дня его перв
"подпунктов 2), 3) пункта 8 статьи 52",52,z295,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z295"">подпунктов 2), 3) пункта 8 статьи 52</a>",1. Настоящий Закон вводится в действие по истечении десяти календарных дней со дня его перв
пункта 2 статьи 8,8,z83,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z83"">пункта 2 статьи 8</a>",1. Настоящий Закон вводится в действие по истечении десяти календарных дней со дня его перв
Статья 57-1,57-1,z57-1h,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z57-1h"">Статья 57-1</a>","""Статья 57-1. Уведомление о начале или прекращении осуществления деятельности в сфере дошко"
подпункту 2-1) ,50-1,http://85.202.192.66:9096/rus/docs/Z070000319_#z161,"<a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z161"">подпункту 2-1) пункта 8</a>",
"подпунктах 2), 3), 6), 9), 10), 11) и 15)",43-1,z794,"
      Компетенция организаций высшего и (или) послевузовского образования, предусмотренная в <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z794"">подпунктах 2)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z795"">3)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z798"">6)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z801"">9)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z802"">10)</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z803"">11)</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z807"">15)</a> ",
подпунктом 3),26,z26_8_3,"17. Граждане Республики Казахстан из числа сельской молодежи, обучившиеся в пределах квоты, установленной <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z26_8_3"">подпунктом 3)</a> ",
подпунктом 6),26,z26_8_6,"
      Граждане Республики Казахстан из числа сельской молодежи, обучившиеся в пределах квоты, установленной <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z26_8_6"">подпунктом 6)</a> ",
подпунктом 3),59-1,z1446,"
      2) явиться по вызову должностных лиц территориального подразделения ведомства уполномоченного органа в области образования в соответствии с <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1446"">подпунктом 3)</a> ",
подпунктом 2),59-1,z1445,"
      3) предоставить информацию по запросу территориального подразделения ведомства уполномоченного органа в области образования в соответствии с <a href=""http://85.202.192.66:9096/rus/docs/Z070000319_#z1445"">подпунктом 2)</a> ",
