# Phase B run log — новая машина (RTX 2060 Super, Win10, Py3.11.9)
# формат: TIMESTAMP | шаг | статус | числа/примечание

2026-07-22T18:31 | STAGE0 orient | OK | ветка full-corpus == origin/full-corpus (053d381); git синхронен
2026-07-22T18:31 | STAGE0 manifest --verify | INTACT | ok=2414 missing=0; 3 ИЗМЕНЁН = embed_kit/* (правлены коммитами после снятия манифеста, не порча данных)
2026-07-22T18:31 | STAGE0 gpu nvidia-smi | OK | RTX 2060 Super, 8192MiB, драйвер 610.74, CUDA UMD 13.3 — карта видна
2026-07-22T18:31 | STAGE0 torch import | PROBLEM | установлен torch 2.12.1+CPU (cuda_available=False) → ставлю CUDA-сборку cu128 (sm_75 Turing поддерживается)
2026-07-22T18:31 | STAGE0 deps | OK(частично) | torch/sentence-transformers/transformers/numpy/faiss/bs4/lxml/tqdm/requests есть; openai не нужен (c_summarize на requests)
2026-07-22T18:31 | BLOCK C precheck | BLOCKED | DEEPSEEK_API_KEY отсутствует во ВСЕХ scope (process/User/Machine) и нет .env. Ключ только из env (§11) — не могу выдумать. BLOCK C (664 summary новых статей) остановлен, жду ключ. Старые 665 summary на месте (перенесены). Независимые шаги (эмбеддинг/индекс/эвал) продолжаю — см. ниже.
2026-07-22T18:31 | BLOCK C impact | NOTE | build_passages: крупная статья без summary → пассаж ПРОПУСКАЕТСЯ (но её сабчанки эмбеддятся, текст остаётся в поиске). Индекс без ключа = функционален, но короче на 664 summary-пассажа. При появлении ключа: c_summarize --min-body ~5030 (НЕ --all без порога: он суммаризирует все 5303 parent без summary, а цель — только ~671 крупных ≥5031) → ре-эмбед → ре-индекс.
2026-07-22T18:40 | STAGE0 torch cu128 | OK | pip: 2.12.1 нет на cu128 (макс 2.11.0) → поставил torch 2.11.0+cu128 --force-reinstall --no-deps. cuda_available=True, RTX 2060 SUPER, cc(7,5)=sm_75, arch_list вкл sm_75. GPU matmul fp16 OK. sentence-transformers 5.6.0 / transformers 5.12.1 грузятся.
2026-07-22T18:40 | STAGE0 passage count | OK | build_passages сейчас (без новых summary) = 36366 пассажей (14061 article + 665 summary + 21640 subchunk); с BLOCK C (+~664) = ~37030 (≈ оценка 37058). repealed 506 — вне пассажей by design.
2026-07-22T18:45 | BLOCK D embed.py OOM-guard | OK | добавил автоснижение batch при OOM (персистит, не краш), default batch 32, fp16 на GPU уже был. embed_kit/embed.py.
2026-07-22T18:46 | SMOKE embed --limit 200 cuda | OK | RTX 2060 SUPER, batch 32, БЕЗ OOM. 200 пассажей за 4с = 47 пасс/с (overall, вкл. загрузку модели), steady ~62 пасс/с. Векторы (200,1024) f32, L2≈1.0, ids выравнены. ETA полного 36366: ~10-13 мин (steady ~60 пасс/с).
2026-07-22T18:46 | SMOKE vs оценка | NOTE | 2060 Super ~60 пасс/с steady БЫСТРЕЕ консерв. оценки 5090 (40) на этом объёме — warmup доминирует в 200-прогоне. Реальный full даст точную цифру.
