original,article,anchor,link,context
частью первой,7_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z15"">частью первой</a>","Исключительные случаи сбора, обработки копий документов, удостоверяющих личность, на бумажн"
Статью 9,9,z21,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z21"">Статью 9</a>",Статью 9 предусматривается дополнить подпунктом 9-5) в соответствии с Законом РК от 09.01.2026
статьи 12,12,z30,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z30"">статьи 12</a>",статьи 12 настоящего Закона;
статьи 7,7,z14,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z14"">статьи 7</a>",статьи 7 и
пункте 2 настоящей статьи,19-1_p2,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z546"">пункте 2</a> настоящей статьи","3. Собственник и (или) оператор, а также третье лицо обязаны рассмотреть возражение, указан"
статью 23,23,z23h,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z23h"">статью 23</a>",В статью 23 предусматривается изменение Законом РК от 09.01.2026
статьи 8,8,z18,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z18"">статьи 8</a>",статьи 8 настоящего Закона;
части первой,25_p1,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z62"">части первой</a>",Действие подпункта 10) части первой настоящего пункта не распространяется на обработку перс
пункте 8 настоящей статьи,27-3_p8,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z486"">пункте 8</a> настоящей статьи",1) беспрепятственного доступа на территорию и в помещения субъекта (объекта) контроля в соо
пунктом 8 настоящей статьи,27-3_p8,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z486"">пунктом 8</a> настоящей статьи","отсутствия документов, предусмотренных пунктом 8 настоящей статьи;"
пункта 3 настоящей статьи,27-3_p3,?,"<a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z445"">пункта 3</a> настоящей статьи",В случае непредоставления информации об устранении выявленных нарушений уполномоченный орга
"подпунктами 1), 2), 2-1), 9) и 9-2)",9,z9_1,"
      1. Собственники и (или) операторы, третьи лица в случае взаимодействия с объектами информатизации государственных органов и (или) государственных юридических лиц, содержащими персональные данные, обеспечивают интеграцию собственных объектов информатизации, задействованных в процессах сбора и обработки персональных данных, с государственным сервисом, за исключением случаев, предусмотренных <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_1"">подпунктами 1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_2"">2)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_2-1"">2-1)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_9"">9)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_9-2"">9-2)</a> ",
"подпунктами 4), 6), 8) и 9-3)",9,z9_4,"
      3. В случаях, предусмотренных <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_4"">подпунктами 4)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_6"">6)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z9_8"">8)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z120"">9-3)</a> ",
подпунктом 7),27-3,z452,"
      В случае непредоставления информации об устранении выявленных нарушений уполномоченный орган вправе назначить внеплановую проверку в соответствии с <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z452"">подпунктом 7)</a> ",
"
      5) регистрацию и учет действий, предусмотренных подпунктами 3), 4), 5) и 6) пункта 4 ",8,z362,"
      5) регистрацию и учет действий, предусмотренных <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z365"">подпунктами 3)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z366"">4)</a>, <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z367"">5)</a> и <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z368"">6)</a> <a href=""https://adilet.zan.kz/rus/docs/Z1300000094#z362"">пункта 4</a>",
